"no_overall","no_inseason","title","directed_by","written_by","orig_release_date","prod_code","u_s_viewers_millions","season_category"
12,12,"""Life Choice""","Aaron Lipstadt","S : Dick Wolf;T : David Black & Robert Stuart Nathan",1991-01-08,"66213",19.2,"season_1"
363,14,"""Magnet""","Adam Bernstein","David Black",2006-02-08,"16014",14.53,"season_16"
168,11,"""Under the Influence""","Adam Davidson","René Balcer",1998-01-07,"K2517",16.98,"season_8"
398,5,"""Driven""","Alan Taylor","Richard Sweren & Gina Gionfriddo",2008-01-23,"18009",10.35,"season_18"
380,9,"""Deadlock""","Alex Chapple","David Slack",2006-11-17,"17009",9.94,"season_17"
397,4,"""Bottomless""","Alex Chapple","Ed Zuckerman",2008-01-16,"18004",11.59,"season_18"
421,10,"""Pledge""","Alex Chapple","Richard Sweren & Gina Gionfriddo",2009-01-21,"19008",8.27,"season_19"
424,13,"""Crimebusters""","Alex Chapple","Richard Sweren & Gina Gionfriddo",2009-02-11,"19013",7.44,"season_19"
428,17,"""Anchors Away""","Alex Chapple","Ed Zuckerman & Matthew McGough",2009-03-25,"19017",7.33,"season_19"
444,11,"""Fed""","Alex Chapple","S : René Balcer;S/T : Keith Eisner",2009-12-11,"20011",8.81,"season_20"
448,15,"""Brilliant Disguise""","Alex Chapple","S : René Balcer;S/T : Keith Eisner",2010-03-08,"20015",5.21,"season_20"
461,5,"""Free Speech""","Alex Hall","Rick Eid",2022-04-07,"2105",3.91,"season_21"
462,6,"""Wicked Game""","Alex Hall","Teleplay by : Rick EidStory by : Pamela Wechsler & Art Alamo",2022-04-14,"2106",4.02,"season_21"
465,9,"""The Great Pretender""","Alex Hall","Rick Eid & Pamela Wechsler",2022-05-12,"2109",3.83,"season_21"
467,1,"""Gimme Shelter – Part Three""","Alex Hall","Rick Eid & Gwen Sigan",2022-09-22,"2201",4.69,"season_22"
475,9,"""The System""","Alex Hall","Rick Eid & Pamela Wechsler",2022-12-08,"2209",4.41,"season_22"
480,14,"""Heroes""","Alex Hall","Rick Eid",2023-02-16,"2214",4.75,"season_22"
483,17,"""Bias""","Alex Hall","Keith Eisner",2023-03-30,"2217",4.22,"season_22"
488,22,"""Open Wounds""","Alex Hall","Teleplay by : Rick Eid & Pamela WechslerStory by : Gia Gordon & Ajani Jackson",2023-05-18,"2222",3.96,"season_22"
489,1,"""Freedom of Expression""","Alex Hall","Teleplay by : Rick Eid & Pamela WechslerStory by : Dick Wolf & Rick Eid",2024-01-18,"2301",5.32,"season_23"
493,5,"""Last Dance""","Alex Hall","Rick Eid & Pamela Wechsler",2024-02-22,"2305",4.87,"season_23"
498,10,"""Inconvenient Truth""","Alex Hall","Teleplay by : Rick Eid & Pamela WechslerStory by : Gia Gordon & Rick Eid & Pamela Wechsler",2024-04-18,"2310",4.51,"season_23"
