"directed_by","n","first_no_overall","first_no_inseason","first_season_category","first_title","first_orig_release_date","first_u_s_viewers_millions","last_no_overall","last_no_inseason","last_season_category","last_title","last_orig_release_date","last_u_s_viewers_millions","high_rate","mean_viewers","max_viewers","viewer_rank"
"Aaron Lipstadt",1,12,12,"season_1","""Life Choice""",1991-01-08,19.2,12,12,"season_1","""Life Choice""",1991-01-08,19.2,1,19.2,19.2,99
"Adam Bernstein",1,363,14,"season_16","""Magnet""",2006-02-08,14.53,363,14,"season_16","""Magnet""",2006-02-08,14.53,0,14.53,14.53,54
"Adam Davidson",1,168,11,"season_8","""Under the Influence""",1998-01-07,16.98,168,11,"season_8","""Under the Influence""",1998-01-07,16.98,0,16.98,16.98,87
"Alan Taylor",1,398,5,"season_18","""Driven""",2008-01-23,10.35,398,5,"season_18","""Driven""",2008-01-23,10.35,0,10.35,10.35,46
"Alex Chapple",7,380,9,"season_17","""Deadlock""",2006-11-17,9.94,448,15,"season_20","""Brilliant Disguise""",2010-03-08,5.21,0,8.37,11.59,34
"Alex Hall",14,461,5,"season_21","""Free Speech""",2022-04-07,3.91,510,9,"season_24","""Enemy of the State""",2025-01-16,4.16,0,4.24428571428571,5.32,13
"Allen Coulter",1,394,1,"season_18","""Called Home""",2008-01-02,13.46,394,1,"season_18","""Called Home""",2008-01-02,13.46,0,13.46,13.46,52
"Arthur W. Forney",10,61,17,"season_3","""Conduct Unbecoming""",1993-03-10,13.5,377,6,"season_17","""Profiteer""",2006-10-27,9.02,0.3,15.153,19.3,61
"Bethany Rooney",2,472,6,"season_22","""Vicious Cycle""",2022-11-03,3.73,478,12,"season_22","""Almost Famous""",2023-01-26,5.38,0,4.555,5.38,15
"Bill D'Elia",1,47,3,"season_3","""Forgiveness""",1992-10-07,17.2,47,3,"season_3","""Forgiveness""",1992-10-07,17.2,1,17.2,17.2,88
"Brian Mertes",3,144,10,"season_7","""Legacy""",1997-01-15,15.06,180,23,"season_8","""Tabloid""",1998-05-13,13.28,0,14.0733333333333,15.06,53
"Bruce Seth Green",1,60,16,"season_3","""Jurisdiction""",1993-03-03,NA,60,16,"season_3","""Jurisdiction""",1993-03-03,NA,NA,NA,-Inf,NA
"Carl Weathers",1,470,4,"season_22","""Benefit of the Doubt""",2022-10-13,4.09,470,4,"season_22","""Benefit of the Doubt""",2022-10-13,4.09,0,4.09,4.09,9
"Carlos Bernard",3,474,8,"season_22","""Chain of Command""",2022-11-17,4.56,517,16,NA,"""Folk Hero""",2025-03-20,3.82,0,4.19,4.56,12
"Charles Correll",2,4,4,"season_1","""Kiss the Girls and Make Them Die""",1990-10-11,16.8,55,11,"season_3","""Extended Family""",1993-01-06,16.1,0,16.45,16.8,79
"Christopher Misiano",13,99,11,"season_5","""Guardian""",1995-01-11,16.6,229,24,"season_10","""Vaya Con Dios""",2000-05-24,19.48,0.153846153846154,15.2853846153846,19.48,66
"Christopher Zalla",1,414,3,"season_19","""Lost Boys""",2008-11-19,7.62,414,3,"season_19","""Lost Boys""",2008-11-19,7.62,0,7.62,7.62,25
"Constantine Makris",63,74,8,"season_4","""American Dream""",1993-11-09,14.4,437,4,"season_20","""Reality Bites""",2009-10-16,7.73,0.365079365079365,15.0142857142857,22.07,60
"Dan Karlok",1,146,12,"season_7","""Barter""",1997-02-12,14.8,146,12,"season_7","""Barter""",1997-02-12,14.8,0,14.8,14.8,57
"Daniel Sackheim",7,17,17,"season_1","""Mushrooms""",1991-02-26,15.6,59,15,"season_3","""Mother Love""",1993-02-24,14.6,0.428571428571429,16.0714285714286,19.2,73
"Dann Florek",3,76,10,"season_4","""The Pursuit of Happiness""",1993-12-01,17,108,20,"season_5","""Bad Faith""",1995-04-26,13.4,0,15.3666666666667,17,67
"Darnell Martin",4,406,13,"season_18","""Angelgrove""",2008-03-19,10.49,452,19,"season_20","""Crashers""",2010-05-03,6.18,0,8,10.49,32
"David Grossman",4,471,5,"season_22","""12 Seconds""",2022-10-27,4.18,513,12,"season_24","""Duty to Protect""",2025-02-13,4.19,0,4.13,4.7,10
"David Platt",29,127,16,"season_6","""Savior""",1996-03-13,15.9,353,4,"season_16","""Age of Innocence""",2005-10-12,10.92,0.551724137931034,16.8003448275862,20.42,83
"Dean White",1,403,10,"season_18","""Tango""",2008-02-27,11.42,403,10,"season_18","""Tango""",2008-02-27,11.42,0,11.42,11.42,47
"Don Scardino",14,14,14,"season_1","""The Violence of Summer""",1991-02-05,16.2,369,20,"season_16","""Kingmaker""",2006-05-03,10.66,0.285714285714286,16.105,20.68,75
"E. W. Swackhamer",6,2,2,"season_1","""Subterranean Homeboy Blues""",1990-09-20,15.5,18,18,"season_1","""The Secret Sharers""",1991-03-12,13.2,0.166666666666667,15.6166666666667,19.8,70
"E.W. Swackhamer",2,27,5,"season_2","""God Bless the Child""",1991-10-22,15.1,70,4,"season_4","""Profile""",1993-10-13,16,0,15.55,16,69
"Ed Sherin",36,24,2,"season_2","""The Wages of Love""",1991-09-24,16.6,358,9,"season_16","""Criminal Law""",2005-11-23,11.93,0.416666666666667,16.2230555555556,21.3,77
"Elisabeth Röhm",1,473,7,"season_22","""Only the Lonely""",2022-11-10,4.07,473,7,"season_22","""Only the Lonely""",2022-11-10,4.07,0,4.07,4.07,7
"Eric Stoltz",1,345,20,"season_15","""Tombstone""",2005-04-13,16.85,345,20,"season_15","""Tombstone""",2005-04-13,16.85,0,16.85,16.85,85
"Eriq La Salle",4,466,10,"season_21","""Black and Blue""",2022-05-19,3.94,511,10,"season_24","""Greater Good""",2025-01-23,4.33,0,3.895,4.33,3
"Ernest Dickerson",1,431,20,"season_19","""Exchange""",2009-05-13,7.9,431,20,"season_19","""Exchange""",2009-05-13,7.9,0,7.9,7.9,29
"Fred Berner",8,413,2,"season_19","""Challenged""",2008-11-12,7.93,516,15,NA,"""Crossing Lines""",2025-03-13,3.53,0,6.29125,8.87,20
"Fred Gerber",6,21,21,"season_1","""Sonata for Solo Organ""",1991-04-02,18,117,6,"season_6","""Paranoia""",1995-11-15,16.7,0.333333333333333,16.8333333333333,18,84
"Gabrielle Beaumont",1,73,7,"season_4","""Apocrypha""",1993-11-03,14.9,73,7,"season_4","""Apocrypha""",1993-11-03,14.9,0,14.9,14.9,58
